playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Uno Per Tutte,6w00fEwmuCLlmiqg7Qi1KF,Emilio Pericoli,"Berlin, Berlin",https://i.scdn.co/image/f8bfdbfdb253f4710a75beb9af6124e012fcb5e8
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non ho l'età,6wQt2YhUmfJozHZ1cMCpQz,Gigliola Cinquetti,"Top '60 Hits Made in Italy, Vol. 2",https://i.scdn.co/image/9246f52431ea54b484243d7b5cf9f98e60ba0cec
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non ho l'età,4qErD1cvH5WaVuqjdZZi3m,Patricia Carli,"Canta Italia, vol. 1",https://i.scdn.co/image/d0187df14ebdf270818692f469b776f567be0801
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Se Piangi Se Ridi,04r25eg2V9NLWEhEkjOx5X,Bobby Solo,San Remo Hits Volume 12,https://i.scdn.co/image/e5280967989d0f6bdfed10c87af69598a371b9d7
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Dio Come Ti Amo,3MOKAZhnyclL6p84EMOkoG,Domenico Modugno,Canta Sus Mejores Canciones,https://i.scdn.co/image/98127c51d8c30b32ee6a0e8388362f2cd293569a
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,"Dio, Come Ti Amo",4YN1yE15DfJpOEtIO2uUI4,Gigliola Cinquetti,La Regina Di San Remo,https://i.scdn.co/image/8e77ca1d756a472928a2e64f3e1bd5c601a00165
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non pensare a me,3abzVp5QKFDFyLhxZm7W5X,Claudio Villa,"Il meglio di Claudio Villa, vol. 2",https://i.scdn.co/image/b2c938b130a905847acbdf668a9dd65f80a448d8
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Non pensare a me,74z7wqukb3iycqBI9bzSJ2,Iva Zanicchi,"Italian Classics: Iva Zanicchi Collection, Vol. 1",https://i.scdn.co/image/f688f6006c3c79153c7fc8a13383d3b996ce16dd
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Canzone Per Te - Versão Remasterizada,5fPs5LhexhH4dYgUyw4JoY,Roberto Carlos,San Remo 1968 (Remasterizado),https://i.scdn.co/image/eb9df9fe874ba791c7187c161747dc9795a7a356
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Zingara,6kHloHRxmsbWh8sEbDdooI,Bobby Solo,Super Best (Remastered),https://i.scdn.co/image/436036161d361957b808a7d5d24cd5cf12b9d661
