anno	cantanti	titolo	lyrics	sesso
1971	Nada, Nicola Di Bari	Il cuore è uno zingaro	"avevo una ferita in fondo al cuore soffrivo soffrivo… le dissi non è niente ma mentivo piangevo piangevo per te si è fatto tardi è già notte non mi tenere lasciami giù mi disse non guardarmi negli occhi e mi lasciò cantando così: "" che colpa ne ho se il cuore è uno zingaro e va catene non ha il cuore è uno zingaro e va finché troverà il prato più verde che c'è raccoglierà le stelle su di se e si fermerà chissà… e si fermerà"" l' ho vista un anno dopo l'altra sera rideva rideva mi strinse lo sapeva che il mio cuore batteva batteva mi disse stiamo insieme stasera che voglia di rispondere sì… ma senza mai guardarla negli occhi io la lasciai cantando così: "" che colpa ne ho"	0.5
1972	Nicola Di Bari	I giorni dell’arcobaleno	erano i giorni dell'arcobaleno finito l'inverno tornava il sereno e tu con negli occhi la luna e le stelle sentivi una mano sfiorare la tua pelle e mentre impazzivi al profumo dei fiori la notte si accese di mille colori distesa sull'erba come una che sogna giacesti bambina ti alzasti già donna tu adesso ti vedi grande di più sei diventata più forte e sicura e iniziata la avventura ormai sono bambine le amiche di prima che si ritrovano in gruppo a giocare e sognano ancora su un raggio di luna vivi la vita di donna importante perché a sedici anni ai già avuto un amante ma un giorno saprai che ogni donna è matura all'epoca giusta e con giusta misura e in questa tua corsa incontro all'amore ti lasci alle spalle il tempo migliore erano i giorni dell'arcobaleno finito l'inverno tornava il sereno	0
1973	Peppino Di Capri	Un grande amore e niente più	io lontano da te pescatore lontano dal mare io chiedo da bere a una fonte asciugata dal sole solitudine e malinconia i soprammobili di casa mia qualche libro una poesia e sul piano una fotografia io e te un grande amore e niente più io e te le nostre corse fin laggiù là dove c'e la capanna scoperta da noi dove tu mi dicesti vorrei amore vorrei stasera vorrei notti notti d'amore nel silenzio il tuo nome il mio nome ma non risale l'acqua nel fiume nemmeno il tuo amore ritorna da me solitudine e malinconia in ogni angolo in ogni via ti rimprovero una sola cosa che potevi almeno dirmi scusa io e te un grande amore e niente più io e te le nostre corse fin laggiù là dove c'è la capanna scoperta da noi dove tu mi dicesti vorrei amore vorrei stasera vorrei io e te	0
1974	Iva Zanicchi	Ciao cara come stai?	Insieme agli altri lui perde sempre ha perso anche con lei Ladro e poeta ah ah anche in amore lui no non cambia ma-a-a-ai Quando la sera tornava a casa sconfitto più che mai lei lo guardava ah ah lui non capiva pagava solo lei Ciao cara come stai? Lei non risponde più Ciao cara come stai? Lei non lo guarda più muore la speranza è vuota la sua stanza Ciao cara come stai? Non gli ha creduto più Ora sei vinto tu sarai solo quando ti pentirai l'ultimo sbaglio oh oh piega l'orgoglio ma è troppo tardi orma-a-a-ai Senza ragione senza rancore cede al destino lui ed ogni sera ah ah tornando a casa parla a una sedia ormai Ciao cara come stai? Lei non risponde più Ciao cara come stai? Lei non lo guarda più Muore la speranza è vuota la sua stanza Ciao cara come stai? Non gli ha creduto più Ciao cara come stai? Lei non risponde più Ciao cara come stai? Lei non lo guarda più Muore la speranza è vuota la sua stanza Ciao cara come stai? Non gli ha creduto... più	1
1975	Gilda	Ragazza del Sud	Ragazza che ti affretti  perché suona la messa,  cammini a testa bassa,  sorridi a chi conosci.  Sei nata in un paese  di aranci e oleandri,  ti hanno insegnato a credere,  a vivere aspettando… lui…  La treccia non la tagli,  sarà il tuo primo amore  a scioglierti i capelli  e allora tremerai.  Ragazza del Sud,  tu che sogni il mio mondo,  guarda solo il mio viso,  ragazza del Sud.  Al di sotto di quello  che nasconde il sorriso,  guarda in fondo più in fondo:  cento giorni di vita,  mille anni di vita,  il primo bacio I’ho avuto,  non ricordo da chi.  II mio tempo non conta,  no, ragazza del Sud.  Rimani a ricamare  il tuo nome sul lenzuolo,  spiando alla finestra  col primo batticuore.  Ripartirò sognando  forse un poco anch’io,  sempre ch’io sappia  ancora come si fa a sognare.  Ragazza del Sud,  mi chiami signora  e guardi ammirata  i vestiti che ho.  Ragazza del Sud,  darei tutto quanto  per avere il tuo sguardo:  cento giorni di vita,  mille anni di vita,  ho gli stessi tuoi anni,  ma da quando non so.  II mio tempo non conta,  no, ragazza del Sud.	1
1976	Peppino Di Capri	Non lo faccio più	Sincronizzi i movimenti,  ogni gesto è ben studiato;  ti tiri su i capelli  l’ hai di certo programmato.  Chiudi piano piano gli occhi,  forse pensi sia più bello;  hai paura che ti tocchi,  è il tuo primo spogliarello.  E lo scialle della mamma  guarda un po’ che fine fa,  forse lei te l’ ha prestato,  forse invece non lo sa.  La camicia di velluto l  lentamente cade giù, poi mi dici:  “Non sta bene tu non puoi veder di più”.  Copri il corpo con le mani,  cerchi un’ombra al tuo rossore;  sei convinta che mi ami  e non merito il tuo amore.  Ridi e corri per la stanza  ti nascondi ma ti vedo;  sembra il passo di una danza  quel tuo fremere discreto.  E lo scialle della mamma  guarda un po’ che fine fa,  le carezze che ci diamo  mai nessuno le vedrà.  Una perla di sudore  dal tuo viso scende giù,  poi mi dici inutilmente: Giuro, non lo faccio più.	0
1977	Homo Sapiens	Bella da morire	"nei films d'amore vince sempre il bene e chi si lascia torna sempre insieme ma per noi due c'è un'altra fine adesso la folla tra i colombi che ci osserva il freddo i nostri aliti la nebbia e piangere domenica mattina qui per te che sei bella da morire ragazzina tu sul tuo seno da rubare io non gioco più e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans a sedici anni non si perde il cuore nemmeno quando provi a far l'amore e tu con me hai vinto tutto quanto di te rimane solo una maglietta lasciata sopra il letto in tutta fretta e il pianto di domenica mattina qui per te che sei bella da morire ragazzina tu sul tuo seno da rubare io non gioco più e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans"	0.2
1978	Matia Bazar	…e dirsi ciao!	se il sole da lassu' di colpo tinge il blu di buio e se ne va e se il mare azzurro ritmo non ha piu' e onda dopo onda rubera' la spiaggia della mia felicita' e poi se il vento che cantava insieme a noi stonate queste note soffiera' vuol dire separarci e dirsi ciao ma se l'alba spunta e poi anticipando in noi il giorno che verra' e se una rondine dispersa il sole avra' la forza della sua comunita' per continuare il viaggio fino al sud e poi se il fuoco del camino brillera' per sempre con amore e senza eta' vuol dire ritrovarsi e dirsi ciao	0.6666666666666666
1979	Mino Vergnaghi	Amare	Come vuoi, parliamo di progetti se ti va vuoi vivere una vita insieme a me mi parli di coraggio e volontà e cerchi con affanno il mio domani con tanta e tanta voglia di amare. Amare che cosa vuoi che voglia dire amare la vita programmata è forse amare domani ancora uguale. Amare non basta avere vent'anni per amare illudersi che insieme sia migliore e poi sentirsi male. Come sai, un giorno mangia I'altro ed hai l'età diritto di votare e dire no bisogno di campare e dire si e cerchi l'evasione più banale oppure esplodi e addio domani. Amare che cosa vuoi che voglia dire amare la noia quotidiana è forse amare domani ancora uguale. Amare volersi ad ogni costo non è amare illudersi che sia se fai l'amore e poi sentirsi male	0
1980	Toto Cutugno	Solo noi	E mi diceva, io sto bene con te E mi diceva, tu sei tutto per me. Se non è amore, dimmelo tu, cos'e'? Si addormentava abbracciandosi a me. Mi risvegliava, con un bacio e un caffe' e poi giocava qui nel letto con me. Se non è amore, dimmelo tu, cos'e'? E poi restava a parlare di noi. Solo noi, solo noi. Dimmi che tu mi vuoi. Solo noi, solo noi. Il respiro di noi.  Solo noi, solo noi. Dimmi che nessun uomo ti ha fatto tremar come tremi con me. Solo noi, solo noi. Le montagne, se vuoi. Solo noi, solo noi. Prati verdi, se vuoi. Solo noi, solo noi. Dimmi che non sai stare da sola un minuto se non sei con me. Odio l'aurora ora che non ci sei Scende la sera, entri dentro di me. Se non è dolore, dimmelo tu, cos'e'? Ti penso ancora, ma tu non sei con me. Solo noi, solo noi. Dimmi che è amore? Solo noi, solo noi. La mia mente dov'e'? Solo noi, solo noi. Odio queste lenzuola che in tempo cancella il profumo di te. Solo noi, solo noi. Le montagne non vuoi. Solo noi, solo noi. Prati verdi non vuoi. Solo noi, solo noi. Mi dicevi che non poi restare un minuto lontano da me Solo noi, solo noi. La mia casa non vuoi. Solo noi, solo noi. Vendo tutto se vuoi. Solo noi, solo noi. Odio queste lenzuola che in tempo cancella il profumo di teeee... Solo noi, solo noi. Noi, solo noi... solo noi, solo noi Noi, solo noi... solo noi, solo noi Noi, solo noi, noi... noi... noi... solo noi... solo noi... solo noi Noi, solo noi... solo noi, solo noi Noi, solo noi... solo noi, solo noi Noi, solo noi... noi... noi... noi... solo noi...	0
