anno	cantanti	titolo	lyrics
1996	Ron, Tosca	Vorrei incontrarti fra cent’anni	vorrei incontrarti fra cent' anni tu pensa al mondo fra cent' anni ritrovero' i tuoi occhi neri tra milioni di occhi neri saran belli piu' di ieri vorrei incontrarti fra cent' anni rosa rossa tra le mie mani dolce profumo nelle notti abbracciata al mio cuscino staro' sveglio per guardarti nella luce del mattino uoh questo amore piu' ci consuma piu' ci avvicina uoh questo amore e' un faro che brilla eh eh eh vorrei incontrarti fra cent' anni combattero' dalla tua parte perche' tale e' il mio amore che per il tuo bene sopporterei ogni male vorrei incontrarti fra cent' anni come un gabbiano volero' saro' felice in mezzo al vento perche' amo e sono amato da te che non puoi cancellarmi e cancellarti non posso io voglio amarti voglio averti e dirti quel che sento abbandonare la mia anima chiusa dentro nel tuo petto chiudi gli occhi dolcemente e non ti preoccupare poi entra nel mio cuore e lasciati andare oh questo amore piu' ci consuma piu' ci avvicina oh questo amore e' un faro che brilla in mezzo alla tempesta oh in mezzo alla tempesta senza aver paura mai vorrei incontrarti fra cent' anni tu pensa al mondo fra cent' anni ritrovero' i tuoi occhi neri tra milioni di occhi neri saran belli piu' di ieri
1997	Jalisse	Fiumi di parole	ascoltero ascoltero e mi alzero mi alzero per gridare a gran voce cio che penso per sputarvi in faccia il mio dissenso lottero lottero gridero gridero contro di voi ed il vostro potere non riuscirete a tenermi a sedere di parole parole & parole ci avete imbottiti flashati storditi fiumi di parole mare di promesse da quelle poltrone sono sempre le stesse minchiate che vomitate ascoltero ascoltero rispondero rispondero colpo su colpo ai vostri brogli un'altra volta no non m'imbroglierete lottero lottero gridero gridero ma con chi credete di avere a che fare calci in culo e pedalare
1998	Annalisa Minetti	Senza te o con te	tarari tarara tarari rarariraia ebbene sì io son rettore e canto senza te o con te a me piace così tanto io da sola mi accontento sai cantando ebbene sì io son rettore e piango tarari tarara tarari rarariraia o con te o senza te a me piace così tanto io da sola mi accontento sai cantando ebbene sì io son rettore e ti ti manco butto un sasso ad un lampione pam pam lala lalala ebbene sì io son rettore e vengo in quest'ultimo e disperato orgasmo cantando
1999	Anna Oxa	Senza pietà	strofa non ci fermeranno le paludi o la neve la tua capitale oramai s'intravede giorno dopo giorno la tua vita cavalco sono il generale più crudele del fronte non faccio prigionieri e la mia spada è lucente terra dopo terra ogni tua fortezza io assalto ritornello ti troverò ti prenderò ti porterò per sempre con me ti stringerò conquisterò proteggerò e senza pietà io ti amerò con tutto questo amore mio e senza pietà diventerò una fonte nel deserto ti disseterò strofa le mie mani le tue mani in questa battaglia è un agguato a tradimento in questa boscaglia rotolare insieme lungo il fiume dei sentimenti ritornello ti troverò ti prenderò ti porterò per sempre con me ti stringerò ti conquisterò proteggerò e senza pietà io ti amerò con tutto questo amore mio e senza pietà diventerò una fonte nel deserto ti disseterò ponte non avere paura di me anche il buio più fondo può valere un azzardo quel brivido in più che sei tu ritornello senza pietà io ti amerò con tutto questo amore mio e senza pietà diventerò il tuo regno dolce sogno io ti vincerò io ti darò me stessa e questo cuore mio e senza pietà ti bagnerò le labbra con le labbra ti disseterò senza pietà
2000	Avion Travel	Sentimento	deau - império dos sentidos
2001	Elisa	Luce (Tramonti a nord est)	parlami come il vento fra gli alberi parlami come il cielo con la sua terra non ho difese ma ho scelto di essere libera adesso è la verità l'unica cosa che conta dimmi se farai qualcosa se mi stai sentendo avrai cura di tutto quello che ti ho dato - dimmi siamo nella stessa lacrima come un sole e una stella luce che cade dagli occhi sui tramonti della mia terra su nuovi giorni ascoltami ora so piangere so che ho bisogno di te non ho mai saputo fingere ti sento vicino il respiro non mente in tanto dolore niente di sbagliato niente niente siamo nella stessa lacrima come un sole e una stella siamo luce che cade dagli occhi sui tramonti della mia terra su nuovi giorni in una lacrima come un sole e una stella luce che cade dagli occhi sui tramonti della mia terra su nuovi giorni si il sole mi parla di te mi stai ascoltando - ora la luna mi parla di te avrò cura di tutto quello che mi hai dato anche se dentro una lacrima come un sole e una stella luce che cade dagli occhi sui tramonti della mia terra su nuovi giorni in una lacrima come un sole e una stella siamo luce che cade dagli occhi sui tramonti della mia terra su nuovi giorni ascoltami ascoltami ascoltami ascoltami ascoltami ascoltami ascoltati
2002	Matia Bazar	Messaggio d’amore	voglio darti un messaggio d'amore di poche parole il segreto nascosto di un cuore un cuore che sa ho capito che forse l'errore non sei stato tu e con tutta la forza che ho dentro ti voglio di più ho ascoltato il rumore e il silenzio parlare nel tempo ho sognato il tuo viso i tuoi occhi sorridermi un po' quanta nostalgia tu mai non ti ho avuto mai in fondo mai dolce amore mio sensibile credimi mai non ti ho avuto mai che male fa non sentirti più sia quel che sia questo messaggio d'amore per te se ho posato le mani su sguardi bruciati dal mare e ho scalato le dune del cuore più alte di me se ho vissuto le notti sprecando la mia fantasia è perché ero sola confusa smarrita io mai non ti ho avuto mai in fondo mai dolce amore mio sensibile credimi mai proprio mai non ti ho avuto mai anima mia sai che ci sarò porta con te questo messaggio d'amore mai non ti ho avuto mai mai proprio mai non ti ho avuto mai in fondo mai dolce amore mio lascia che sia solo un messaggio d'amore un messaggio d'amore dovunque andrai sempre dovunque andrai
2003	Alexia	Per dire di no	non è l'amore né la poesia che dà l'impulso qui nell'anima forse è il colore si di questi occhi tuoi che trafiggono il blu le incertezze e poi le illusioni che teniamo giù dentro di noi no non è un cielo di nostalgia che offusca il sole in te vulnerabile disarmato si e fragile perchè hai bisogno di me una volta in più non lo ammetti mai o non lo vuoi spiegare tu no non è un gioco della fantasia che ti ha portato qui domenica diventa musica la solitudine oh no e disperdo nel blu l'inquietudine le parole che non sento più dentro di noi per dire di no per dire vai via per dire dai resta qui va bene così per dire di no per dire vai via per dire dai resta qui va bene così non è l'amore mai nè la poesia che dà impulso qui nell'anima
2004	Marco Masini	L’uomo volante	se ti avessi lo sai capirei la mia vita scoprendo dentro di me con il senno di poi che ogni scelta sbagliata mi conduceva da te così mi immagino già il tuo sorriso e vedo accendersi noi allo stadio in un bar in un gesto affettuoso che non ci capita mai vorrei regalarti un cielo d'agosto che fa da cornice a una stella che va un sole nascosto che nasce da dentro e disegna il confine della tua libertà quel suono leggero di un nome importante le ali di un uomo volante per non nasconderti mai dentro ai rimproveri miei e se tu fossi qui avrei anche il coraggio d'innamorarmi di te per parlarti così come infatti già faccio anche se non mi ascolterai però saresti il mio unico orgoglio la rondine che torna da sé vorrei regalarti un mondo diverso che ha fatto la pace con la sua crudeltà quel giusto rimorso che nasce sbagliando e conferma la forza di ogni fragilità l'anarchico istinto di un cuore migrante le ali di un uomo volante per arrivare più su e cercare la tua margherita di questa piccola vita dove più vero sei tuevitando ogni strada sbagliata io vorrei regalarti l'infinito che dà quel tenero abbraccio di un padre sognante che come un uomo volante anche se tu non verrai saprà nel cuore chi sei io questo spero e vorrei
2005	Francesco Renga	Angelo	mrs bertha flowers was the aristocrat of black stamps she had the grace of control to appear warm in the coldest weather and on the arkansas summer days it seemed she had a private breeze which swirled around cooling her she was thin without the taut look of wiry people and her printed voile dresses and flowered hats were as right for her as denim overalls for a farmer she was our side’s answer to the richest white woman in town her skin was a rich black that would have peeled like a plum if snagged but then no one would have thought of getting close enough to mrs flowers to ruffle her dress let alone snag her skin she didn’t encourage familiarity she wore gloves too i don’t think i ever saw mrs flowers laugh but she smiled often a slow widening of her thin black lips to show even small white teeth then the slow effortless closing when she chose to smile on me i always wanted to thank her the action was so graceful and inclusively benign she was one of the few gentlewomen i have ever known and has remained throughout my life the measure of what a human being can be one summer afternoon sweet-milk fresh in my memory she stopped at the store to buy provisions another negro woman of her health and age would have been expected to carry the paper sacks home in one hand but momma said “ sister flowers i’ll send bailey up to your house with these things” she smiled that slow dragging smile “ thank you mrs henderson i’d prefer marguerite though” my name was beautiful when she said it “ i’ve been meaning to talk to her anyway” they gave each other age-group looks there was a little path beside the rocky road and mrs flowers walked in front swinging her arms and picking her way over the stones she said without turning her head to me “ i hear you’re doing very good schoolwork marguerite but that it’s all written the teachers report that they have trouble getting you to talk in class” we passed the triangular farm on our left and the path widened to allow us to walk together i hung back in the separate unasked and unanswerable questions “ come and walk along with me marguerite” i couldn’t have refused even if i wanted to she pronounced my name so nicely or more correctly she spoke each word with such clarity that i was certain a foreigner who didn’t understand english could have understood her“ now no one is going to make you talk—possibly no one can but bear in mind language is man’s way of communicating with his fellow man and it is language alone which separates him from the lower animals” that was a totally new idea to me and i would need time to think about it “ your grandmother says you read a lot every chance you get that’s good but not good enough words mean more than what is set down on paper it takes the human voice to infuse them with the shades of deeper meaning” i memorized the part about the human voice infusing words it seemed so valid and poetic she said she was going to give me some books and that i not only must read them i must read them aloud she suggested that i try to make a sentence sound in as many different ways as possible “ i’ll accept no excuse if you return a book to me that has been badly handled” my imagination boggled at the punishment i would deserve if in fact i did abuse a book of mrs flowers’s death would be too kind and brief the odors in the house surprised me somehow i had never connected mrs flowers with food or eating or any other common experience of common people there must have been an outhouse too but my mind never recorded it the sweet scent of vanilla had met us as she opened the door “ i made tea cookies this morning you see i had planned to invite you for cookies and lemonade so we could have this little chat the lemonade is in the icebox” it followed that mrs flowers would have ice on an ordinary day when most families in our town bought ice late on saturdays only a few times during the summer to be used in the wooden ice cream freezers she took the bags from me and disappeared through the kitchen door i looked around the room that i had never in my wildest fantasies imagined i would see browned photographs leered or threatened from the walls and the white freshly done curtains pushed against themselves and against the wind i wanted to gobble up the room entire and take it to bailey who would help me analyze and enjoy it “ have a seat marguerite over there by the table” she carried a platter covered with a tea towel although she warned that she hadn’t tried her hand at baking sweets for some time i was certain that like everything else about her the cookies would be perfect they were flat round wafers slightly browned on the edges and butter-yellow in the center with the cold lemonade they were sufficient for childhood’s lifelong diet remembering my manners i took nice little ladylike bites off the edges she said she had made them expressly for me and that she had a few in the kitchen that i could take home to my brother so i jammed one whole cake in my mouth and the rough crumbs scratched the insides of my jaws and if i hadn’t had to swallow it would have been a dream come true as i ate she began the first of what we later called “my lessons in living” she said that i must always be intolerant of ignorance but understanding of illiteracy that some people unable to go to school were more educated and even more intelligent than college professors she encouraged me to listen carefully to what country people called mother wit that in those homely sayings was couched the collective wisdom of generations when i finished the cookies she brushed off the table and brought a thick small book from the bookcase i had read a tale of two cities and found it up to my standards as a romantic novel she opened the first page and i heard poetry for the first time in my life “ it was the best of times it was the worst of times ” her voice slid in and curved down through and over the words she was nearly singing i wanted to look at the pages were they the same that i had read or were there notes music lined on the pages as in a hymn book her sounds began cascading gently i knew from listening to a thousand preachers that she was nearing the end of her reading and i hadn’t really heard heard to understand a single word“ how do you like that” it occurred to me that she expected a response the sweet vanilla flavor was still on my tongue and her reading was a wonder in my ears i had to speak i said “ yes ma’am” it was the least i could do but it was the most also “ there’s one more thing take this book of poems and memorize one for me next time you pay me a visit i want you to recite” i have tried often to search behind the sophistication of years for the enchantment i so easily found in those gifts the essence escapes but its aura remains to be allowed no invited into the private lives of strangers and to share their joys and fears was a chance to exchange the southern bitter wormwood for a cup of mead with beowulf or a hot cup of tea and milk with oliver twist when i said aloud “ it is a far far better thing that i do than i have ever done ” tears of love filled my eyes at my selflessness on that first day i ran down the hill and into the road few cars ever came along it and had the good sense to stop running before i reached the store i was liked and what a difference it made i was respected not as mrs henderson’s grandchild or bailey’s sister but for just being marguerite johnson childhood’s logic never asks to be proved all conclusions are absolute i didn’t question why mrs flowers had singled me out for attention nor did it occur to me that momma might have asked her to give me a little talking-to all i cared about was that she had made tea cookies for me and read to me from her favorite book it was enough to prove that she liked me
2006	Povia	Vorrei avere il becco	"vorrei avere il becco per accontentarmi delle briciole concentrato e molto attento si ma con la testa fra le nuvole capire i sentimenti quando nascono e quando muoiono perciò vorrei avere i sensi per sentire il pericolo se tutti quanti lo sanno ma hanno paura che l'amore è un inganno oh ce l'ha fatta mia nonna per anni con mio nonno in campagna più o meno come fa un piccione lo so che e brutto il paragone però vivrei con l'emozione di dare fiducia a chi mi tira il pane più o meno come fa un piccione l'amore sopra il cornicione ti starei vicino nei momenti di crisi e lontano quando me lo chiedi dimmi che ci credi e che ti fidi un giorno avevo il vento che mi accompagnava su una tegola a volte sono solo e mi spavento cosa cì fanno due piccioni in una favola se tutti quanti lo sanno ma hanno paura che l'amore è un inganno oh me l'ha detto mia nonna "" lo sai quante volte non pensavo a tuo nonno"" più o meno come fa un piccione e mica come le persone che a causa dei particolari mandano per aria sogni e grandi amori camminerò come un piccione a piedi nudi sull'asfalto chi guida crede che mi mette sotto ma io con un salto all'ultimo momento volerò ma non troppo in alto perché il segreto è volare basso e un piccione vola basso ma è per questo che ti fa un dispetto ma è per questo che anche io non lo sopporto noi però alla fine resteremo insieme più o meno come fa un piccione l'amore sopra il cornicione ti starò vicino nei momenti di crisi e lontano quando me lo chiedi dimmi che ci credi ci sveglieremo la mattina due cuori sotto una campana"
2007	Simone Cristicchi	Ti regalerò una rosa	ti regalerò una rosa una rosa rossa per dipingere ogni cosa una rosa per ogni tua lacrima da consolare e una rosa per poterti amare ti regalerò una rosa una rosa bianca come fossi la mia sposa una rosa bianca che ti serva per dimenticare ogni piccolo dolore mi chiamo antonio e sono matto sono nato nel ' e vivo qui da quando ero bambino credevo di parlare col demonio così mi hanno chiuso quarant'anni dentro a un manicomio ti scrivo questa lettera perché non so parlare perdona la calligrafia da prima elementare e mi stupisco se provo ancora un'emozione ma la colpa è della mano che non smette di tremare io sono come un pianoforte con un tasto rotto l'accordo dissonante di un'orchestra di ubriachi e giorno e notte si assomigliano nella poca luce che trafigge i vetri opachi me la faccio ancora sotto perché ho paura per la società dei sani siamo sempre stati spazzatura puzza di piscio e segatura questa è malattia mentale e non esiste cura ti regalerò una rosa una rosa rossa per dipingere ogni cosa una rosa per ogni tua lacrima da consolare e una rosa per poterti amare ti regalerò una rosa una rosa bianca come fossi la mia sposa una rosa bianca che ti serva per dimenticare ogni piccolo dolore i matti sono punti di domanda senza frase migliaia di astronavi che non tornano alla base sono dei pupazzi stesi ad asciugare al sole i matti sono apostoli di un dio che non li vuole mi fabbrico la neve col polistirolo la mia patologia è che son rimasto solo ora prendete un telescopio… misurate le distanze e guardate tra me e voi… chi è più pericoloso dentro ai padiglioni ci amavamo di nascosto ritagliando un angolo che fosse solo il nostro ricordo i pochi istanti in cui ci sentivamo vivi non come le cartelle cliniche stipate negli archivi dei miei ricordi sarai l'ultimo a sfumare eri come un angelo legato ad un termosifone nonostante tutto io ti aspetto ancora e se chiudo gli occhi sento la tua mano che mi sfiora ti regalerò una rosa una rosa rossa per dipingere ogni cosa una rosa per ogni tua lacrima da consolare e una rosa per poterti amare ti regalerò una rosa una rosa bianca come fossi la mia sposa una rosa bianca che ti serva per dimenticare ogni piccolo dolore mi chiamo antonio e sto sul tetto cara margherita son vent'anni che ti aspetto i matti siamo noi quando nessuno ci capisce quando pure il tuo migliore amico ti tradisce ti lascio questa lettera adesso devo andare perdona la calligrafia da prima elementare e ti stupisci che io provi ancora un'emozione sorprenditi di nuovo perché antonio sa volare
2008	Giò Di Tonno, Lola Ponce	Colpo di fulmine	bella fritz strofa quando ho iniziato co' 'sta roba è stato un vero flash colpo di fulmine hai presente il logo delle clash ogni giorno avanti e dietro cappuccio e sguardo tetro guardavo le pezzate in metro attraverso il vetro niente stile con lo spray ma il mio life style era già wild chiedi a ice chiedi a mind più o meno così andava contro il sistema e contro chi ci si schierava mentre l' a t m ci schedava faccevo shopping per i miei bobby già dal mattino con biso quando c'era mango in via torino se provavo a spiegarlo a mia mamma diceva che cosa che ne sapeva lei di blocchi flop e fat rosa tu invece sai chi è fritz perché adesso fa anche il beat conosci luca barcellona ma non sai chi è bean sei bravo in hall of fame con la bozza al palmo ma se ti dico nero inferno non sai di che cazzo parlo ricordo le nottate con rauto e con etra in giro a bombardare milano sembrava il vietnam ricordo quella fuga backjump già toccato e fuga le tag dietro il finestrino la a t mmino suca rispetto per chi lo spinge lo ha fatto nelle provincie rispetto per la shalbo e la i schifo te che non ci vedi l'arte siamo in un mondo a parte sui palazzi e nelle yarde con bombe e marker bella pela bella mark non dimentico quelle fumate ad usmate anche d'estate in bomboclat la mia crew palermo u f s fino alle fine tipo un entuen in culo all' f s nessun rispetto per chi non ha proprie idee fanculo i toy non fare l'eroe non sei ray manco aloe non necessariamente hardcore come tony montana ma con una montana hardcore in metropolitana frà i miei raga con la pietra sopra il pullman mentre qualche passeggero insulta spera il controllore dia una multa gente da giungla mica i fighetti sulla smart se non vuoi far saltare la yard occhio con il whole car ormai che ho chiuso il graffiti ma il mio nome è ancora per la city sopra qualche cartellone niente è come quella sensazione no quando uno sbirro sa come mi chiamo ma non sa che faccia ho
2009	Marco Carta	La forza miav	aprire gli occhi e ritrovarti qui e' come aprire una finestra al sole e' l'emozione del salto nel vuoto che mi porta da te aprire gli occhi e ritrovarti qui e' risvegliarsi mani nelle mani e' un bacio ad acqua salata che ancora più sete di te mi da quando tutto sembrava ormai spento nel mio mondo cercavo te quando tutto sembrava finito guardando il fondo invece ho sentito che tu sarai la forza mia la mia strada il mio domani il mio sole la pioggia il fuoco e l'acqua dove io mi tufferò tu sarai la forza mia il mio gancio in mezzo al cielo il colpo al cuore all'improvviso dentro me dentro me aprire gli occhi e ritrovarti qui lasciarsi andare sotto il temporale sentire come mi manca il respiro se i tuoi occhi accendono i miei quando tutto sembrava ormai spento nel mio mondo volevo te quando tutto sembrava sbiadito toccando il fondo invece ho sentito che tu sarai la forza mia la mia strada il mio domani il mio sole e la pioggia il fuoco e la goccia dove io mi tufferò tu sarai la forza mia il mio gancio in mezzo al cielo il colpo al cuore il paradiso dentro me il mio gancio in mezzo al cielo il colpo al cuore il paradiso dentro me dentro me tu sarai la forza mia tu sarai la forza mia tu sarai la forza mia tu sarai la forza mia dentro me dentro me
2010	Valerio Scanu	Per tutte le volte che…	per tutte le volte che mi dici basta e basta piщ non и non corrisponde il flusso delle tue parole al battito del cuore per tutte le volte che mi chiedi scusa e scusa piщ non и ma trovi sempre il modo di farmi sembrare il simbolo del male per tutte le volte che € tua colpa o forse non lo и ma il dubbio basta a farmi ritrovare quella voglia di gridare ma poi c'и una volta in cui scatta qualcosa fuori e dentro di noi e tutto il resto € piccolo come uno spillo impercettibile come se un giorno freddo in pieno inverno nudi non avessimo poi tanto freddo perchй noi coperti sotto il mare a far l'amore in tutti i modi in tutti i luoghi in tutti i laghi in tutto il mondo l'universo che ci insegue ma ormai siamo irraggiungibili per tutte le volte che un pugno al muro nulla fa perchй questo dolore € dolce come il miele confrontato con il male che noi ci facciamo se cosм potente questo amore che ci difendiamo con tutta la forza ma non basta quasi mai come se un giorno freddo in pieno inverno nudi non avessimo poi tanto freddo perchй noi coperti sotto il mare a far l'amore in tutti i modi in tutti i luoghi in tutti i laghi in tutto il mondo l'universo che ci si insegue ma ormai siamo irraggiungibili irraggiungibili mm come se un giorno freddo in pieno inverno nudi non avessimo poi tanto freddo perchй noi coperti sotto il mare a far l'amore in tutti i modi in tutti i luoghi in tutti i laghi in tutto il mondo l'universo l'universo l'universo come se un giorno freddo in pieno inverno nudi non avessimo poi tanto freddo perchй noi coperti sotto il mare ma far l'amore ma ormai siamo irraggiungibili mm mm mm
2011	Roberto Vecchioni	Chiamami ancora amore	e per la barca che è volata in cielo che i bimbi ancora stavano a giocare che gli avrei regalato il mare intero pur di vedermeli arrivare per il poeta che non può cantare per l'operaio che ha perso il suo lavoro per chi ha vent'anni e se ne sta a morire in un deserto come in un porcile e per tutti i ragazzi e le ragazze che difendono un libro un libro vero così belli a gridare nelle piazze perché stanno uccidendoci il pensiero per il bastardo che sta sempre al sole per il vigliacco che nasconde il cuore per la nostra memoria gettata al vento da questi signori del dolore chiamami ancora amore chiamami sempre amore che questa maledetta notte dovrà pur finire perché la riempiremo noi da qui di musica e parole chiamami ancora amore chiamami sempre amore in questo disperato sogno tra il silenzio e il tuono difendi questa umanità anche restasse un solo uomo chiamami ancora amore chiamami ancora amore chiamami sempre amore perché le idee sono come farfalle che non puoi togliergli le ali perché le idee sono come le stelle che non le spengono i temporali perché le idee sono voci di madre che credevamo di avere perso e sono come il sorriso di dio in questo sputo di universo chiamami ancora amore chiamami sempre amore che questa maledetta notte dovrà ben finire perché la riempiremo noi da qui di musica e parole chiamami ancora amore chiamami sempre amore continua a scrivere la vita tra il silenzio e il tuono difendi questa umanità che è così vera in ogni uomo chiamami ancora amore chiamami ancora amore chiamami sempre amore chiamami ancora amore chiamami sempre amore che questa maledetta notte dovrà pur finire perché la riempiremo noi da qui di musica e parole chiamami ancora amore chiamami sempre amore in questo disperato sogno tra il silenzio e il tuono difendi questa umanità anche restasse un solo uomo chiamami ancora amore chiamami ancora amore chiamami sempre amore perché noi siamo amore
2012	Emma	Non è l’inferno	ho dato la vita e il sangue per il mio paese e mi ritrovo a non tirare a fine mese in mano a dio le sue preghiere ho giurato fede mentre diventavo padre due guerre senza garanzia di ritornare solo medaglie per l'onore se qualcuno sente queste semplici parole parlo per tutte quelle povere persone che ancora credono nel bene se tu che hai coscienza guidi e credi nel paese dimmi cosa devo fare per pagarmi da mangiare per pagarmi dove stare dimmi che cosa devo fare no questo no non è l'inferno ma non comprendo com'è possibile pensare che sia più facile morire no non lo pretendo ma ho ancora il sogno che tu mi ascolti e non rimangano parole ho pensato a questo invito non per compassione ma per guardarla in faccia e farle assaporare un po' di vino e un poco di mangiare se sapesse che fatica ho fatto per parlare con mio figlio che a anni teme il sogno di sposarsi e la natura di diventare padre se sapesse quanto sia difficile il pensiero che per un giorno di lavoro c'è chi ha ancora più diritti di chi ha creduto nel paese del futuro no questo no non è l'inferno ma non comprendo com'è possibile pensare che sia più facile morire no non lo pretendo ma ho ancora il sogno che tu mi ascolti e non rimangano parole non rimangono parole na na na na na com'è possibile pensare che sia più facile morire io no non lo pretendo ma ho ancora il sogno che tu mi ascolti e non rimangano parole non rimangano parole non rimangano parole
2013	Marco Mengoni	L’Essenziale	"strofa sostengono gli eroi: "" se il gioco si fa duro è da giocare"" beati loro poi se scambiano le offese con il bene succede anche a noi di far la guerra e ambire poi alla pace e nel silenzio mio annullo ogni tuo singolo dolore per apprezzare quello che non ho saputo scegliere ritornello mentre il mondo cade a pezzi io compongo nuovi spazi e desideri che appartengono anche a te che da sempre sei per me l'essenziale strofa non accetterò un altro errore di valutazione l'amore è in grado di celarsi dietro amabili parole che ho pronunciato prima che fossero vuote e stupide ritornello mentre il mondo cade a pezzi io compongo nuovi spazi e desideri che appartengono anche a te mentre il mondo cade a pezzi mi allontano dagli eccessi e dalle cattive abitudini tornerò all'origine torno a te che sei per me l'essenziale l'amore non segue le logiche ti toglie il respiro e la sete ritornello mentre il mondo cade a pezzi io compongo nuovi spazi e desideri che appartengono anche a te mentre il mondo cade a pezzi mi allontano dagli eccessi e dalle cattive abitudini tornerò all'origine torno a te che sei per me l'essenziale"
2014	Arisa	Controvento	io non credo nei miracoli meglio che ti liberi meglio che ti guardi dentro questa vita lascia i lividi questa mette i brividi certe volte è più un combattimento c'è quel vuoto che non sai che poi non dici mai che brucia nelle vene come se il mondo è contro te e tu non sai il perché lo so me lo ricordo bene io sono qui per ascoltare un sogno non parlerò se non ne avrai bisogno ma ci sarò perché così mi sento accanto a te viaggiando controvento risolverò magari poco o niente ma ci sarò e questo è l'importante acqua sarò che spegnerà un momento accanto a te viaggiando controvento tanto il tempo solo lui lo sa quando e come finirà la tua sofferenza e il tuo lamento c'è quel vuoto che non sai che poi non dici mai che brucia nelle vene come se il mondo è contro te e tu non sai il perché lo so me lo ricordo bene io sono qui per ascoltare un sogno non parlerò se non ne avrai bisogno ma ci sarò perché cosi mi sento accanto a te viaggiando controvento risolverò magari poco o niente ma ci sarò e questo è l'importante acqua sarò che spegnerà un momento accanto a te viaggiando controvento viaggiando controvento viaggiando controvento acqua sarò che spegnerà un momento accanto a te viaggiando controvento
2015	Il Volo	Grande Amore	strofa dovremmo monetizzare questo nostro grande amore con dei video virali o dei post svergognati da mi piace io e te sponsorizzati venduti a decine di migliaia di euro ai brand tu immagina i bond di questo nostro grande amore in base al tuo tasso d'interesse per me che tiene più dell' america più della goldman sachs regge più della cina di shenzhen e shanghai ritornello e non ha lunedì neri non conosce default senza banche centrali senza w t o e non ha lunedì neri non conosce default senza banche centrali senza w t o dovremmo monetizzare questo nostro grande amore strofa prendendo l'ispirazione da questo nostro grande amore per un libro una serie o per un film commerciale in sale la vigilia di natale potremmo vivere anche solo dei diritti s i a e oppure immagina i bond di questo nostro grande amore con tutto l'investimento che ho per te che tiene più dell' america più della goldman sachs regge più della cina di shenzhen e shanghai ritornello e non ha lunedì neri non conosce default senza banche centrali senza w t o e non ha lunedì neri non conosce default senza banche centrali senza w t o dovremmo monetizzare questo nostro grande amore questo nostro grande amore
2016	Stadio	Un giorno mi dirai	un giorno ti dirò che ho rinunciato alla mia felicità per te e tu riderai riderai e tu riderai di me un giorno ti dirò che ti volevo bene più di me e tu riderai riderai tu riderai di me e mi dirai che un padre non deve piangere mai non deve piangere mai e mi dirai che un uomo deve sapere difendersi… na na na na un giorno ti dirò che ho rinunciato agli occhi suoi per te e tu non capirai e mi chiederai… perché e mi dirai che un padre non deve piangere mai non deve arrendersi mai tu mi dirai che un uomo deve sapere proteggersi… uoh ouh ouh ouh un giorno mi dirai che un uomo ti ha lasciata e che non sai più come fare a respirare a continuare a vivere io ti dirò che un uomo può anche sbagliare lo sai si può sbagliare lo sai ma che se era vero amore e’ stato meglio comunque viverlo ma tu non mi ascolterai già so che tu non mi capirai e non mi crederai piangendo tu mi stringerai uoh ouh ouh ouh
2017	Francesco Gabbani	Occidentali's Karma	strofa essere o dover essere il dubbio amletico contemporaneo come l'uomo del neolitico nella tua gabbia x mettiti comodo intellettuali nei caffè internettologi soci onorari al gruppo dei selfisti anonimi l’intelligenza è démodé risposte facili dilemmi inutili bridge a a a cercasi cerca sì storie dal gran finale spèrasi spera sì comunque vada panta rei and singing in the rain ritornello lezioni di nirvana c'è il buddha in fila indiana per tutti un'ora d'aria di gloria alé la folla grida un mantra l’evoluzione inciampa la scimmia nuda balla occidentali's karma occidentali's karma la scimmia nuda balla occidentali's karma strofa piovono gocce di chanel su corpi asettici mettiti in salvo dall'odore dei tuoi simili tutti tuttologi col web coca dei popoli oppio dei poveri bridge a a a cercasi cerca sì umanità virtuale sex appeal sex appeal comunque vada panta rei and singing in the rain ritornello lezioni di nirvana c’è il buddha in fila indiana per tutti un'ora d'aria di gloria la folla grida un mantra l’evoluzione inciampa la scimmia nuda balla occidentali's karma occidentali's karma la scimmia nuda balla occidentali's karma strofa quando la vita si distrae cadono gli uomini occidentali's karma occidentali's karma la scimmia si rialza namasté alé ritornello lezioni di nirvana c’è il buddha in fila indiana per tutti un'ora d'aria di gloria la folla grida un mantra l’evoluzione inciampa la scimmia nuda balla occidentali's karma occidentali's karma la scimmia nuda balla occidentali's karma
